Order_Number,Sales_Date,Sales_Channel,Currency,Sales_Team_ID,Store_ID,Product_ID,Order_Qty,Unit_Price,Unit_Cost,Sales,Costs,Profits
SO1,5/24/20,Online,USD,19,362,9,8,504.25,360.18,4034.02,2881.45,1152.58
SO2,2/16/20,Wholesale,USD,20,334,26,5,551.55,393.96,2757.75,1969.82,787.93
SO3,5/30/20,In-Store,USD,12,21,22,4,253.80,181.29,1015.20,725.14,290.06
SO4,1/22/20,Wholesale,USD,9,112,8,9,330.81,236.30,2977.32,2126.66,850.66
SO5,4/24/20,Wholesale,USD,15,64,23,4,387.92,277.08,1551.67,1108.33,443.33
SO6,4/9/20,Distributor,USD,6,243,14,4,322.87,230.62,1291.47,922.48,368.99
SO7,5/21/20,In-Store,USD,7,38,33,2,293.17,209.41,586.33,418.81,167.52
SO8,3/30/20,Online,USD,21,188,15,8,273.99,195.71,2191.94,1565.67,626.27
SO9,5/5/20,Wholesale,USD,26,288,28,9,499.79,356.99,4498.11,3212.93,1285.17
SO10,3/9/20,Wholesale,USD,19,148,13,1,288.26,205.90,288.26,205.90,82.36
SO11,4/26/20,Online,USD,15,154,47,10,621.18,443.70,6211.83,4437.02,1774.81
SO12,4/7/20,Wholesale,USD,10,67,5,2,245.59,175.42,491.18,350.84,140.34
SO13,2/3/20,Wholesale,USD,18,51,25,8,348.32,248.80,2786.58,1990.41,796.16
SO14,5/6/20,In-Store,USD,15,174,43,1,575.95,411.39,575.95,411.39,164.56
SO15,1/23/20,Wholesale,USD,21,18,4,1,383.51,273.94,383.51,273.94,109.57
SO16,1/27/20,Online,USD,24,9,6,8,209.67,149.77,1677.38,1198.13,479.25
SO17,5/14/20,Distributor,USD,21,256,46,1,323.12,230.80,323.12,230.80,92.32
SO18,2/14/20,Wholesale,USD,10,300,18,9,173.69,124.06,1563.21,1116.58,446.63
SO19,4/10/20,In-Store,USD,22,83,24,3,644.20,460.14,1932.59,1380.42,552.17
SO20,1/31/20,Distributor,USD,10,45,24,6,387.17,276.55,2323.05,1659.32,663.73
SO21,2/22/20,Online,USD,21,276,5,8,544.19,388.71,4353.53,3109.66,1243.86
SO22,3/25/20,Online,USD,9,316,23,5,380.98,272.13,1904.88,1360.63,544.25
SO23,1/31/20,Distributor,USD,14,268,47,5,542.05,387.18,2710.26,1935.90,774.36
SO24,5/14/20,Distributor,USD,4,356,42,5,261.71,186.94,1308.56,934.69,373.87
SO25,4/12/20,Online,USD,7,142,24,1,337.50,241.07,337.50,241.07,96.43
SO26,4/19/20,Online,USD,24,243,34,9,370.51,264.65,3334.55,2381.82,952.73
SO27,3/17/20,Wholesale,USD,4,162,1,6,586.31,418.79,3517.84,2512.74,1005.10
SO28,5/1/20,Wholesale,USD,3,268,35,2,215.67,154.05,431.34,308.10,123.24
SO29,4/12/20,Distributor,USD,2,250,20,2,340.71,243.36,681.42,486.73,194.69
SO30,4/12/20,Wholesale,USD,18,112,38,5,389.87,278.48,1949.37,1392.41,556.96
SO31,1/1/20,Wholesale,USD,10,66,28,8,566.48,404.63,4531.87,3237.05,1294.82
SO32,3/13/20,In-Store,USD,4,275,39,10,285.54,203.95,2855.35,2039.54,815.81
SO33,2/25/20,Distributor,USD,2,58,5,3,225.18,160.84,675.55,482.53,193.01
SO34,4/16/20,Wholesale,USD,17,195,10,5,579.53,413.95,2897.65,2069.75,827.90
SO35,5/16/20,In-Store,USD,6,290,16,6,593.56,423.97,3561.34,2543.81,1017.53
SO36,1/20/20,Distributor,USD,2,118,46,1,545.45,389.61,545.45,389.61,155.84
SO37,4/8/20,In-Store,USD,13,180,29,8,551.27,393.77,4410.18,3150.13,1260.05
SO38,2/29/20,Wholesale,USD,5,231,3,7,416.98,297.84,2918.83,2084.88,833.95
SO39,3/13/20,Distributor,USD,10,165,44,10,262.33,187.38,2623.26,1873.75,749.50
SO40,4/15/20,In-Store,USD,11,261,6,2,614.08,438.63,1228.16,877.26,350.90
SO41,2/12/20,Distributor,USD,3,167,35,4,239.83,171.31,959.32,685.23,274.09
SO42,4/27/20,In-Store,USD,9,216,14,3,290.22,207.30,870.67,621.90,248.76
SO43,4/18/20,In-Store,USD,24,99,25,3,444.07,317.19,1332.21,951.58,380.63
SO44,1/13/20,Wholesale,USD,25,151,25,4,288.65,206.18,1154.61,824.72,329.89
SO45,1/14/20,Online,USD,11,48,9,5,180.97,129.26,904.85,646.32,258.53
SO46,4/18/20,In-Store,USD,3,175,7,4,190.49,136.07,761.98,544.27,217.71
SO47,1/11/20,Online,USD,25,38,32,9,194.43,138.88,1749.83,1249.88,499.95
SO48,4/17/20,Online,USD,25,243,17,6,304.31,217.36,1825.84,1304.17,521.67
SO49,2/28/20,Online,USD,25,132,4,5,455.08,325.06,2275.41,1625.29,650.12
SO50,3/25/20,Wholesale,USD,1,32,27,3,534.18,381.56,1602.55,1144.68,457.87
SO51,3/31/20,Wholesale,USD,25,235,19,9,299.54,213.96,2695.87,1925.62,770.25
SO52,2/6/20,Online,USD,5,81,20,8,212.67,151.91,1701.37,1215.26,486.10
SO53,4/17/20,Online,USD,4,163,27,4,184.10,131.50,736.41,526.00,210.40
SO54,1/1/20,In-Store,USD,4,302,17,1,605.04,432.17,605.04,432.17,172.87
SO55,2/5/20,In-Store,USD,19,265,22,1,434.46,310.33,434.46,310.33,124.13
SO56,4/8/20,Distributor,USD,19,133,7,6,393.68,281.20,2362.10,1687.21,674.88
SO57,4/26/20,Online,USD,6,37,42,10,514.02,367.16,5140.24,3671.60,1468.64
SO58,2/9/20,Online,USD,4,310,7,9,628.65,449.04,5657.86,4041.33,1616.53
SO59,3/6/20,Distributor,USD,8,341,1,3,454.75,324.82,1364.26,974.47,389.79
SO60,3/4/20,Online,USD,10,62,42,6,184.67,131.91,1108.05,791.46,316.58
SO61,4/5/20,Distributor,USD,9,244,25,9,207.67,148.33,1869.01,1335.01,534.00
SO62,3/5/20,In-Store,USD,20,170,40,2,465.11,332.22,930.23,664.45,265.78
SO63,5/22/20,In-Store,USD,17,147,20,9,310.43,221.74,2793.88,1995.63,798.25
SO64,1/17/20,Distributor,USD,3,8,23,10,643.70,459.78,6436.96,4597.83,1839.13
SO65,1/27/20,In-Store,USD,6,199,30,9,380.69,271.92,3426.25,2447.32,978.93
SO66,1/23/20,Online,USD,9,282,12,6,431.01,307.86,2586.06,1847.19,738.88
SO67,5/15/20,Wholesale,USD,18,339,13,4,586.06,418.62,2344.25,1674.46,669.78
SO68,1/17/20,Online,USD,21,141,42,4,424.10,302.93,1696.38,1211.70,484.68
SO69,5/6/20,Wholesale,USD,15,335,36,1,344.87,246.34,344.87,246.34,98.53
SO70,3/16/20,Online,USD,21,195,1,6,242.60,173.29,1455.61,1039.72,415.89
SO71,1/26/20,Online,USD,20,92,37,5,160.17,114.41,800.87,572.05,228.82
SO72,4/5/20,Wholesale,USD,11,296,16,6,291.35,208.11,1748.09,1248.63,499.45
SO73,3/15/20,Distributor,USD,10,252,40,3,590.59,421.85,1771.76,1265.54,506.22
SO74,1/14/20,Distributor,USD,20,124,32,6,589.28,420.92,3535.69,2525.49,1010.20
SO75,5/19/20,Online,USD,3,251,14,6,502.90,359.21,3017.39,2155.28,862.11
SO76,1/2/20,In-Store,USD,1,71,25,1,250.13,178.67,250.13,178.67,71.47
SO77,4/19/20,Distributor,USD,21,259,16,7,383.62,274.01,2685.33,1918.10,767.24
