Title,Streams
Tim McGraw,120040027
Teardrops On My Guitar - Radio Single Remix,200980580
Our Song,305586296
Picture To Burn,176396797
Should've Said No,111300259
Love Story,836915282
White Horse,107699728
You Belong With Me,605811743
Fifteen,112068545
Fearless,113794810
Today Was A Fairytale - US Version,30625428
Mine,216206402
Back To December,374544074
Mean,222035531
The Story Of Us,149041103
Sparks Fly,176182420
Ours,70237867
Eyes Open,49185591
We Are Never Ever Getting Back Together,639130809
Ronan,6440553
Begin Again,123485459
I Knew You Were Trouble.,780738817
22,371542660
Highway Don't Care,217565725
Red,246151608
Everything Has Changed,267137052
The Last Time,65533602
Shake It Off,1308244238
Blank Space,1698812112
Style,1118247952
Bad Blood,564714110
Wildest Dreams,907579608
Out Of The Woods,315200810
New Romantics,267784059
I Don't Wanna Live Forever (Fifty Shades Darker),1558353207
Look What You Made Me Do,1058214803
...Ready for It?,634550690
End Game,458822021
New Year's Day,175493350
Delicate,898895154
Getaway Car,584929068
ME! (feat. Brendon Urie of Panic! At The Disco),818895926
You Need to Calm Down,856769041
Lover,1201601808
Christmas Tree Farm,176573410
The Man,668319411
cardigan,1120603598
exile (feat. Bon Iver),686767654
betty,314669252
willow,755236791
"no body, no crime (feat. HAIM)",250442518
coney island (feat. The National),163083012
I Bet You Think About Me (feat. Chris Stapleton) (Taylors Version) (From The Vault),193700206
Message In A Bottle (Taylor's Version) (From The Vault),175078388
Anti-Hero,1368423916
Lavender Haze,638946832
Karma,655096506
Cruel Summer,1668311663
"""Slut!"" (Taylor's Version) (From The Vault)",173426185
Is It Over Now? (Taylor's Version) (From The Vault),265162177
